,RANK,Country,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government
25,35,Slovakia,6.391,6.475,6.306,2.094,1.736,1.232,0.707,0.479,0.118,0.025,2021.0,6.418503761,10.35686398,0.951163888,68.94999695,0.74153322,0.048633955,0.895546556,0.69156754,0.241131321,0.215807587
26,36,Estonia,6.341,6.415,6.266,1.442,1.793,1.232,0.728,0.689,0.123,0.333,2021.0,6.553915501,10.55838966,0.945865035,69.65000153,0.925818324,0.049557805,0.441425771,0.760608435,0.176258042,0.519263983
27,37,Panama,6.309,6.464,6.154,2.086,1.715,1.107,0.709,0.592,0.049,0.051,2021.0,6.552778721,10.22175407,0.898621261,68.90000153,0.810681999,-0.140521035,0.861062586,0.834382474,0.217544228,0.334807962
28,38,Brazil,6.293,6.384,6.202,2.361,1.462,1.044,0.615,0.546,0.131,0.134,2021.0,6.009953499,9.593187332,0.814328671,65.75,0.791507721,0.090771444,0.738571405,0.661550403,0.407182962,0.327099293
29,40,Kazakhstan,6.234,6.33,6.138,1.86,1.668,1.22,0.611,0.584,0.134,0.157,2021.0,6.259634018,10.16281033,0.906053364,65.80000305,0.807489097,0.038746249,0.782494009,0.662836969,0.122301146,0.535169721
30,42,Latvia,6.18,6.255,6.106,1.923,1.732,1.221,0.637,0.502,0.075,0.09,2021.0,6.353090763,10.35994816,0.954086423,66.40000153,0.815278113,-0.099032037,0.839525342,0.716414034,0.18593426,0.294602394
31,43,Serbia,6.178,6.294,6.062,2.031,1.55,1.086,0.658,0.546,0.219,0.088,2021.0,6.245267391,9.874162674,0.890106082,67.15000153,0.850367904,0.26693216,0.806221604,0.567632556,0.311130971,0.605454803
32,44,Chile,6.172,6.262,6.082,2.04,1.651,1.08,0.748,0.46,0.124,0.069,2021.0,6.435630798,10.16244316,0.891460538,70.30000305,0.80341506,-0.049180858,0.858552754,0.735079885,0.220878571,0.232144803
33,45,Nicaragua,6.165,6.312,6.017,2.418,1.105,1.029,0.617,0.617,0.168,0.212,2021.0,6.095348835,8.61372757,0.848263025,65.65000153,0.904980481,0.026981786,0.674668729,0.798928738,0.292643428,0.589501441
34,46,Mexico,6.128,6.238,6.017,2.239,1.552,0.886,0.623,0.621,0.092,0.115,2021.0,5.99075079,9.837133408,0.778605103,65.80000305,0.837159336,-0.03136697,0.745186806,0.750247896,0.30510965,0.483326107
35,47,Croatia,6.125,6.229,6.022,1.884,1.705,1.183,0.709,0.535,0.109,0.0,2021.0,6.286790371,10.30044937,0.917741537,68.94999695,0.841837883,0.009498014,0.933650374,0.640148699,0.274197161,0.251287937
36,48,Poland,6.123,6.205,6.04,1.693,1.758,1.174,0.712,0.523,0.124,0.14,2021.0,5.978068829,10.43639851,0.935534835,69.05000305,0.731805563,0.127401829,0.743913174,0.699575484,0.277231276,0.259251654
37,49,El Salvador,6.12,6.25,5.99,2.514,1.265,0.768,0.607,0.666,0.089,0.212,2021.0,6.431447029,9.05728817,0.796106219,65.59999847,0.914903879,-0.075257853,0.663288593,0.825840414,0.289976716,0.702381134
38,51,Hungary,6.086,6.187,5.985,1.812,1.748,1.233,0.668,0.485,0.078,0.064,2021.0,6.226647854,10.413867,0.947892129,67.5,0.727489948,-0.041736327,0.831555367,0.668148637,0.191949174,0.416566133
39,52,Mauritius,6.071,6.184,5.958,1.969,1.591,1.116,0.568,0.589,0.131,0.107,2021.0,5.949120045,9.925987244,0.886509895,63.84999847,0.802364588,-0.007317984,0.783532083,0.665566385,0.135523796,0.527145624
40,53,Uzbekistan,6.063,6.178,5.948,1.913,1.219,1.092,0.6,0.716,0.283,0.24,2021.0,6.18530798,8.941695213,0.895503759,65.30000305,0.927415252,0.188774511,0.661561668,0.698459327,0.232672125,0.912673354
41,54,Japan,6.039,6.119,5.959,1.487,1.835,1.089,0.866,0.537,0.007,0.218,2021.0,6.091324806,10.6239481,0.895737708,74.34999847,0.801350355,-0.209871203,0.669546723,0.674374282,0.189246044,0.29078567
42,55,Honduras,6.022,6.189,5.855,2.611,1.111,0.885,0.555,0.582,0.202,0.076,2021.0,6.113636017,8.57476902,0.805980861,63.84999847,0.835045755,0.119133651,0.847225428,0.807722807,0.269214004,0.226496547
43,56,Portugal,6.016,6.122,5.911,1.691,1.76,1.078,0.777,0.655,0.016,0.039,2021.0,6.183014393,10.41631794,0.894941688,71.25,0.892121136,-0.20704861,0.872229338,0.628748119,0.284006834,0.576186419
44,57,Argentina,5.967,6.09,5.844,1.891,1.592,1.102,0.662,0.555,0.081,0.085,2021.0,5.908278942,9.955421448,0.882304549,67.19999695,0.819479346,-0.008816142,0.816256702,0.684860051,0.345131576,0.326574117
45,58,Greece,5.948,6.043,5.853,2.119,1.703,0.98,0.774,0.249,0.015,0.108,2021.0,6.104214191,10.26983833,0.85032618,71.15000153,0.574029803,-0.155177593,0.751816869,0.623556495,0.310851872,0.401736408
46,59,South Korea,5.935,6.021,5.849,1.656,1.851,0.886,0.841,0.414,0.111,0.176,2021.0,6.112745285,10.69212723,0.810740769,73.65000153,0.717086375,-0.029297361,0.685114563,0.566271067,0.22117126,0.433829188
47,60,Philippines,5.904,6.007,5.8,2.283,1.268,0.912,0.514,0.678,0.107,0.142,2021.0,5.96505785,9.020073891,0.778192103,62.04999924,0.905275464,-0.00859355,0.72116226,0.789731145,0.322941482,0.763208687
48,61,Thailand,5.891,5.994,5.788,1.6,1.535,1.096,0.697,0.617,0.321,0.026,2021.0,5.638096809,9.765044212,0.882821918,68.44999695,0.835590303,0.293198258,0.943129361,0.71892941,0.297737539,0.239433169
49,62,Moldova,5.857,5.948,5.766,2.142,1.417,1.008,0.597,0.561,0.102,0.028,2021.0,5.959048748,9.500629425,0.879554033,65.30000305,0.832602262,-0.090259023,0.875060678,0.630283237,0.270110786,0.363787621
50,63,Jamaica,5.85,6.023,5.676,2.164,1.296,1.045,0.646,0.567,0.08,0.053,2021.0,5.813733578,9.115969658,0.857367575,66.59999847,0.730657279,-0.075910032,0.88274461,0.688595951,0.307878584,0.325800419
51,64,Kyrgyzstan,5.828,5.916,5.741,2.087,1.069,1.109,0.638,0.693,0.208,0.025,2021.0,5.563699722,8.458740234,0.904273272,66.84999847,0.91787082,0.206922323,0.90251559,0.659907758,0.226462573,0.582115293
52,66,Colombia,5.781,5.903,5.659,1.971,1.452,0.929,0.72,0.545,0.087,0.077,2021.0,5.289958477,9.587848663,0.792830646,69.34999847,0.774668455,-0.06074876,0.831330955,0.75165838,0.348332316,0.289148897
53,67,Bosnia and Herzegovina,5.768,5.877,5.659,1.869,1.468,1.068,0.665,0.448,0.244,0.006,2021.0,5.748823166,9.627624512,0.859953582,67.30000305,0.758979201,0.281281054,0.920913935,0.604092598,0.305352151,0.225852832
54,68,Mongolia,5.761,5.845,5.676,1.999,1.393,1.197,0.467,0.398,0.247,0.059,2021.0,5.72103405,9.387740135,0.92711699,60.5,0.666846633,0.217352957,0.850720286,0.560003579,0.202482358,0.257001966
55,69,Dominican Republic,5.737,5.873,5.601,1.751,1.538,1.003,0.577,0.606,0.084,0.179,2021.0,6.030537128,9.834504128,0.857106984,64.40000153,0.859358311,-0.084483601,0.677408218,0.73365891,0.275468111,0.574958026
56,71,Bolivia,5.6,5.709,5.491,2.107,1.256,0.88,0.555,0.627,0.112,0.064,2021.0,5.56862402,9.007940292,0.797810495,63.59999847,0.861731231,-0.054499056,0.812174439,0.721001804,0.403487325,0.385875583
57,73,Paraguay,5.578,5.689,5.467,1.555,1.409,1.13,0.624,0.629,0.171,0.059,2021.0,5.575535297,9.454678535,0.907541871,65.90000153,0.887960792,0.02379535,0.856721044,0.806078374,0.248322532,0.290166408
58,74,Peru,5.559,5.679,5.439,1.89,1.397,0.865,0.735,0.545,0.09,0.037,2021.0,5.694317818,9.44045639,0.818539441,69.84999847,0.811777532,-0.085864142,0.879913747,0.783769429,0.368650228,0.30032289
